onset,duration,sample,trial_type,response_time,stim_file,serialpos,probepos,probe_word,resp_word,study_1,study_2,list,test,answer,experiment,session,subject
0.0,62.132,137771,SESS_START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-999,"[0, 0, 0]",-999,PAL1,0,R1001P
62.132,1.016,168836,START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[-999, -999, -999]",-999,PAL1,0,R1001P
63.148,26.441,169344,PROB,26.441,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[4, 4, 9]",18,PAL1,0,R1001P
89.589,75.593,182563,STOP,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,-1,"[-999, -999, -999]",-999,PAL1,0,R1001P
165.182,10.438,220358,ENCODING_START,n/a,n/a,0,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
175.62,0.275,225577,STUDY_ORIENT,n/a,n/a,1,3,CHIN,n/a,BALL,CHIN,1,"[0, 0, 0]",-999,PAL1,0,R1001P
176.62,4.0,226077,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,1,3,CHIN,n/a,BALL,CHIN,1,"[0, 0, 0]",-999,PAL1,0,R1001P
181.654,0.275,228593,STUDY_ORIENT,n/a,n/a,2,4,KEY,n/a,BEAN,KEY,1,"[0, 0, 0]",-999,PAL1,0,R1001P
182.521,4.0,229027,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,2,4,KEY,n/a,BEAN,KEY,1,"[0, 0, 0]",-999,PAL1,0,R1001P
187.539,0.275,231536,STUDY_ORIENT,n/a,n/a,3,1,CUP,COTTON,WING,CUP,1,"[0, 0, 0]",-999,PAL1,0,R1001P
188.522,4.0,232027,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,3,1,CUP,COTTON,WING,CUP,1,"[0, 0, 0]",-999,PAL1,0,R1001P
193.54,0.275,234536,STUDY_ORIENT,n/a,n/a,4,6,CONE,n/a,CONE,DRUM,1,"[0, 0, 0]",-999,PAL1,0,R1001P
194.557,4.0,235045,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,4,6,CONE,n/a,CONE,DRUM,1,"[0, 0, 0]",-999,PAL1,0,R1001P
199.591,0.275,237561,STUDY_ORIENT,n/a,n/a,5,5,FORK,n/a,SHEET,FORK,1,"[0, 0, 0]",-999,PAL1,0,R1001P
200.441,4.0,237986,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,5,5,FORK,n/a,SHEET,FORK,1,"[0, 0, 0]",-999,PAL1,0,R1001P
205.459,0.275,240495,STUDY_ORIENT,n/a,n/a,6,2,FORT,n/a,FORT,CAR,1,"[0, 0, 0]",-999,PAL1,0,R1001P
206.492,4.0,241012,STUDY_PAIR,n/a,wordpools/wordpool_EN.txt,6,2,FORT,n/a,FORT,CAR,1,"[0, 0, 0]",-999,PAL1,0,R1001P
210.493,1.0,243012,START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,1,"[-999, -999, -999]",-999,PAL1,0,R1001P
211.493,0.017,243512,MATH_START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
211.51,10.085,243521,PROB,10.063,n/a,-999,-999,n/a,n/a,n/a,n/a,1,"[9, 4, 8]",21,PAL1,0,R1001P
221.595,12.738,248563,PROB,12.738,n/a,-999,-999,n/a,n/a,n/a,n/a,1,"[9, 5, 5]",19,PAL1,0,R1001P
234.333,0.015,254931,STOP,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,1,"[-999, -999, -999]",-999,PAL1,0,R1001P
234.348,0.0,254939,MATH_END,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
234.348,0.016,254939,TEST_START,n/a,n/a,-999,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
234.364,0.275,254947,TEST_ORIENT,n/a,n/a,3,1,CUP,COTTON,WING,CUP,1,"[0, 0, 0]",-999,PAL1,0,R1001P
235.181,4.0,255355,TEST_PROBE,n/a,wordpools/wordpool_EN.txt,3,1,CUP,COTTON,WING,CUP,1,"[0, 0, 0]",-999,PAL1,0,R1001P
235.182,2.37,255356,REC_START,n/a,n/a,3,-999,n/a,COTTON,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
237.552,0.425,256541,REC_EVENT,2.37,n/a,3,1,CUP,<>,WING,CUP,1,"[0, 0, 0]",-999,PAL1,0,R1001P
237.977,2.213,256753,REC_EVENT,2.795,n/a,3,1,CUP,COTTON,WING,CUP,1,"[0, 0, 0]",-999,PAL1,0,R1001P
240.19,0.009,257860,REC_END,n/a,n/a,3,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
240.199,0.275,257864,TEST_ORIENT,n/a,n/a,6,2,FORT,n/a,FORT,CAR,1,"[0, 0, 0]",-999,PAL1,0,R1001P
241.066,4.0,258298,TEST_PROBE,n/a,wordpools/wordpool_EN.txt,6,2,FORT,n/a,FORT,CAR,1,"[0, 0, 0]",-999,PAL1,0,R1001P
241.066,5.015,258298,REC_START,n/a,n/a,6,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
246.081,0.002,260805,REC_EVENT,5.015,n/a,6,2,FORT,<>,FORT,CAR,1,"[0, 0, 0]",-999,PAL1,0,R1001P
246.083,0.017,260806,REC_END,n/a,n/a,6,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
246.1,0.275,260815,TEST_ORIENT,n/a,n/a,1,3,CHIN,n/a,BALL,CHIN,1,"[0, 0, 0]",-999,PAL1,0,R1001P
246.934,4.0,261232,TEST_PROBE,n/a,wordpools/wordpool_EN.txt,1,3,CHIN,n/a,BALL,CHIN,1,"[0, 0, 0]",-999,PAL1,0,R1001P
246.934,0.337,261232,REC_START,n/a,n/a,1,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
247.271,4.68,261400,REC_EVENT,0.337,n/a,1,3,CHIN,<>,BALL,CHIN,1,"[0, 0, 0]",-999,PAL1,0,R1001P
251.951,0.017,263740,REC_END,n/a,n/a,1,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
251.968,0.275,263748,TEST_ORIENT,n/a,n/a,2,4,KEY,n/a,BEAN,KEY,1,"[0, 0, 0]",-999,PAL1,0,R1001P
252.768,4.0,264148,TEST_PROBE,n/a,wordpools/wordpool_EN.txt,2,4,KEY,n/a,BEAN,KEY,1,"[0, 0, 0]",-999,PAL1,0,R1001P
252.769,5.025,264149,REC_START,n/a,n/a,2,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
257.794,0.002,266661,REC_END,n/a,n/a,2,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
257.796,0.006,266662,REC_EVENT,5.027,n/a,2,4,KEY,<>,BEAN,KEY,1,"[0, 0, 0]",-999,PAL1,0,R1001P
257.802,0.275,266665,TEST_ORIENT,n/a,n/a,5,5,FORK,n/a,SHEET,FORK,1,"[0, 0, 0]",-999,PAL1,0,R1001P
258.803,4.0,267166,TEST_PROBE,n/a,wordpools/wordpool_EN.txt,5,5,FORK,n/a,SHEET,FORK,1,"[0, 0, 0]",-999,PAL1,0,R1001P
258.803,5.015,267166,REC_START,n/a,n/a,5,-999,n/a,n/a,n/a,n/a,1,"[0, 0, 0]",-999,PAL1,0,R1001P
